,Sunlight Exposure,,,,,,Anova: Two-Factor With Replication,,,,,,,,,Anova: Two-Factor Without Replication,,,,,,
Watering Frequency,None,Low,Medium,High,,,,,,,,,,,,,,,,,,
Daily,4.8,5,6.4,6.3,,,SUMMARY,None,Low,Medium,High,Total,,,,SUMMARY,Count,Sum,Average,Variance,,
,4.4,5.2,6.2,6.4,,,Daily,,,,,,,,,Daily,4,22.5,5.625,0.709166667,,
,3.2,5.6,4.7,5.6,,,Count,5,5,5,5,20,,,,,4,22.2,5.55,0.863333333,,
,3.9,4.3,5.5,4.8,,,Sum,20.7,24.9,28.6,28.9,103.1,,,,,4,19.1,4.775,1.2825,,
,4.4,4.8,5.8,5.8,,,Average,4.14,4.98,5.72,5.78,5.155,,,,,4,18.5,4.625,0.475833333,,
Weekly,4.4,4.9,5.8,6,,,Variance,0.378,0.232,0.447,0.412,0.775236842,,,,,4,20.8,5.2,0.506666667,,
,4.2,5.3,6.2,4.9,,,,,,,,,,,,Weekly,4,21.1,5.275,0.569166667,,
,3.8,5.7,6.3,4.6,,,Weekly,,,,,,,,,,4,20.6,5.15,0.696666667,,
,3.7,5.4,6.5,5.6,,,Count,5,5,5,5,20,,,,,4,20.4,5.1,1.246666667,,
,3.9,4.8,5.5,5.5,,,Sum,20,26.1,30.3,26.6,103,,,,,4,21.2,5.3,1.366666667,,
,,,,,,,Average,4,5.22,6.06,5.32,5.15,,,,,4,19.7,4.925,0.575833333,,
,,,,,,,Variance,0.085,0.137,0.163,0.317,0.722631579,,,,,,,,,,
,,,,,,,,,,,,,,,,None,10,40.7,4.07,0.211222222,,
,,,,,,,Total,,,,,,,,,Low,10,51,5.1,0.18,,
"4.8, 5, 6.4, 6.3",,,,,,,Count,10,10,10,10,,,,,Medium,10,58.9,5.89,0.303222222,,
"4.4, 5.2, 6.2, 6.4",,,,,,,Sum,40.7,51,58.9,55.5,,,,,High,10,55.5,5.55,0.382777778,,
"3.2, 5.6, 4.7, 5.6",,,,,,,Average,4.07,5.1,5.89,5.55,,,,,,,,,,,
"3.9, 4.3, 5.5, 4.8",,,,,,,Variance,0.211222222,0.18,0.303222222,0.382777778,,,,,,,,,,,
"4.4, 4.8, 5.8, 5.8",,,,,,,,,,,,,,,,ANOVA,,,,,,
"4.4, 4.9, 5.8, 6",,,,,,,,,,,,,,,,Source of Variation,SS,df,MS,F,P-value,F crit
"4.2, 5.3, 6.2, 4.9",,,,,,,ANOVA,,,,,,,,,Rows,3.58225,9,0.398027778,1.758087604,0.123861328,2.250131477
"3.8, 5.7, 6.3, 4.6",,,,,,,Source of Variation,SS,df,MS,F,P-value,F crit,,,Columns,18.76475,3,6.254916667,27.62794978,2.20683E-08,2.960351318
"3.7, 5.4, 6.5, 5.6",,,,,,,Sample,0.00025,1,0.00025,0.000921234,0.975974966,4.149097446,,,Error,6.11275,27,0.226398148,,,
"3.9, 4.8, 5.5, 5.5",,,,,,,Columns,18.76475,3,6.254916667,23.04897897,3.89809E-08,2.901119584,,,,,,,,,
,,,,,,,Interaction,1.01075,3,0.336916667,1.241516966,0.310897722,2.901119584,,,Total,28.45975,39,,,,
,,,,,,,Within,8.684,32,0.271375,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total,28.45975,39,,,,,,,,,,,,,
